HPDcache UVM 1.1d Testplan  —  cv32a6_imac_sv32 + Domino Prefetcher  |  QuestaSim 23.3 Starter Edition,,,,,,,,
Category,No,Test Item,Test Name,Description,Test Flow (sequence used),Pass Condition,Priority,UVM 1.1d Status
STRESS / RANDOM TEST,5.1,"Hit-Under-Miss
(Out-of-Order)",hpdcache_hit_under_miss_test,"Pre-warm one line, then send 1 cold-miss + 10 warm hits concurrently.","hpdcache_hit_under_miss_seq  num_hits=10
Pre-warm STORE → cold LOAD (miss) → 10 warm LOADs
All sequential in run_phase (driver serialises)","RSP received for all 11 requests.
Scoreboard PASS >= 10 (warm hits verified).
No WATCHDOG timeout.",High,"ADAPTED
Hits serialised not
true concurrent;
covers cache hit path"
,5.2,"Prefetch vs Store
Hazard",hpdcache_pref_store_hazard_test,"LOAD triggers prefetch of X, then STORE overwrites X, then LOAD verifies latest data.","hpdcache_pref_store_hazard_seq  num_rounds=4
LOAD X → STORE X (new_data++) → LOAD X verify
Scoreboard checks last LOAD == latest STORE","Scoreboard PASS == num_rounds.
FAIL==0: LOAD X returns latest STORE data.
No WATCHDOG timeout.",Critical,"COMPATIBLE
Fixed addr X
Manual data increment"
,5.3,"AXI Random Stall
(Back-to-Back)",hpdcache_axi_stall_test,Random LOAD/STORE stream with random idle gaps between transactions.,"hpdcache_axi_stall_seq  num_trans=20  max_stall=10
m_txn_idle_cycles injected via wait_n_clocks()
Mix of LOAD and STORE via set_random()","REQ==RSP==20, FAIL==0.
No WATCHDOG timeout.
$display confirms pipeline stalls then resumes.",High,"COMPATIBLE
m_txn_idle_cycles
replaces AXI ready toggle"
,5.4,"Long-Run Regression
(Reduced Scope)",hpdcache_rand_test  (num_trans=100),Sustained random LOAD/STORE stream to stress all cache paths over extended run.,"hpdcache_rand_seq  num_trans=100
set_random() mix of LOAD/STORE, random tags/offsets
Scoreboard active for all transactions","UVM_ERROR==0, UVM_FATAL==0.
FAIL==0 at end.
No WATCHDOG (timeout set to 5 000 000 ps).",Critical,"ADAPTED
2M-cycle/SVA removed
(needs SV Verif lic);
covers sustained path"
FULL CORE TEST,,,,,,,,
Core RISC V CV32A6_IMAC,1.1,ALU & Pipeline,core_basic_alu_ops,"Verify decode, execute and write-back of integer ALU instructions using a bare-metal RISC-V program.",Load ALU program -> Release reset -> CPU executes ADD/SUB/AND/OR/XOR/SLT -> Monitor commit and register write-back -> Scoreboard compares GPR values.,All committed register values match reference model; no illegal commit; UVM_ERROR=0.,High,"REQUIRES NEW AGENTS
isa_agent: commit_monitor + isa_driver
Reference: Spike ISS or hardcoded golden table
run_phase only; no rand/randomize"
,1.2,Branch & Jump,core_branch_prediction_flush,"Verify branch/jump execution, PC redirection and pipeline flush.",Load branch program -> Execute BEQ/BNE/JAL/JALR -> Monitor PC trace and commit sequence -> Compare expected control flow.,"Correct PC redirection, wrong-path instructions never commit, UVM_ERROR=0.",High,"REQUIRES NEW AGENTS
isa_agent: commit_monitor
PC range check replaces SVA (UVM 1.1d)
run_phase only"
,1.3,CSR & Exception,core_exception_trap,Verify CSR access and synchronous exception handling (ECALL/illegal instruction).,"Load CSR/ECALL program -> Execute CSR instructions and exception -> Monitor CSR updates, mepc and mcause -> Compare with expected results.","CSR values, mepc and mcause are correct; execution resumes at correct handler; UVM_ERROR=0.",Medium,"REQUIRES NEW AGENTS
isa_agent: commit_monitor + csr_monitor
Priority upgraded to High (exception path critical)
run_phase only; expected values hardcoded from .hex"
INSTRUCTION L1 CACHE,2.1,Sequential Fetch,icache_seq_fetch_hit_miss,"Verify sequential instruction fetch, cache refill and cache hits.",Execute linear instruction stream -> Observe ICache requests and AXI refill -> Continue execution after refill.,First access causes refill; subsequent accesses hit in ICache; instructions execute correctly.,High,"REQUIRES NEW AGENTS
icache_agent: fetch_monitor
Level 1 independent; Level 2 depends on TC 1.x
run_phase only"
,2.2,Branch Fetch,icache_jump_target_miss,Verify instruction fetch redirection after branch/jump.,Execute branch-intensive program -> Observe fetch cancellation and new fetch request after redirect.,"Old fetch is discarded, new fetch follows redirected PC, correct instruction sequence commits.",High,"REQUIRES NEW AGENTS
icache_agent: fetch_monitor
Signal name fetch_kill_i — verify in CVA6 RTL
run_phase only"
,2.3,Cache Coherency,icache_fence_i_flush,Verify ICache invalidation after FENCE.I.,Modify instruction memory -> Execute FENCE.I -> Re-fetch modified code -> Monitor committed instructions.,CPU executes updated instruction after FENCE.I; stale instructions are never executed; UVM_ERROR=0.,Critical,"REQUIRES NEW AGENTS
icache_agent + isa_agent (TC 1.x dependency)
Instruction memory modified via data AXI store path
run_phase only"
